department,Topic,Frequency
,38,57
,82,24
,86,33
,94,24
,161,45
,219,10
Exacte en Natuurwetenschappen,82,1
Exacte en Natuurwetenschappen,86,2
Exacte en Natuurwetenschappen,94,9
Exacte en Natuurwetenschappen,161,1
Exacte en Natuurwetenschappen,219,4
Sociale en Geesteswetenschappen,38,10
Sociale en Geesteswetenschappen,82,10
Sociale en Geesteswetenschappen,86,40
Sociale en Geesteswetenschappen,94,23
Sociale en Geesteswetenschappen,161,1
Sociale en Geesteswetenschappen,219,7
Toegepaste en Technische Wetenschappen,38,1
Toegepaste en Technische Wetenschappen,82,3
Toegepaste en Technische Wetenschappen,86,1
Toegepaste en Technische Wetenschappen,94,1
Toegepaste en Technische Wetenschappen,161,1
Toegepaste en Technische Wetenschappen,219,1
