sub_department,Topic,Frequency
Chemische Wetenschappen,161,1
Exacte en Natuurwetenschappen,86,2
Exacte en Natuurwetenschappen,246,1
Geesteswetenschappen,86,4
Geesteswetenschappen,246,2
Geesteswetenschappen,254,3
Kennis- en innovatieconvenant,230,1
Kennis- en innovatieconvenant,246,1
Maatschappij- en Gedragswetenschappen,38,3
Maatschappij- en Gedragswetenschappen,86,8
NWO-breed,246,1
NWO-breed,254,1
Nationaal Regieorgaan Onderwijsonderzoek,86,1
Nationaal Regieorgaan Praktijkgericht Onderzoek,38,48
Nationaal Regieorgaan Praktijkgericht Onderzoek,86,30
Nationaal Regieorgaan Praktijkgericht Onderzoek,161,42
Nationaal Regieorgaan Praktijkgericht Onderzoek,230,33
Nationaal Regieorgaan Praktijkgericht Onderzoek,246,25
Nationaal Regieorgaan Praktijkgericht Onderzoek,254,19
Nationale Wetenschapsagenda,38,9
Nationale Wetenschapsagenda,86,3
Nationale Wetenschapsagenda,161,3
Nationale Wetenschapsagenda,230,1
Nationale Wetenschapsagenda,246,1
Nationale Wetenschapsagenda,254,2
Sociale en Geesteswetenschappen,38,4
Sociale en Geesteswetenschappen,86,24
Sociale en Geesteswetenschappen,161,1
Sociale en Geesteswetenschappen,254,2
Technologiestichting STW,38,1
Toegepaste en Technische Wetenschappen,86,1
Toegepaste en Technische Wetenschappen,161,1
WOTRO Science for Global Development,38,3
WOTRO Science for Global Development,86,3
WOTRO Science for Global Development,246,2
